,Sr #,Parish,Code,Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited,Remarks
342,343,Palmerstown,260376.0,FOLLY,8.0,3.0,2.0,,11.0,8.0,2.0,,5.0,12.0,2.0,,5.0,10.0,2.0,,,,,,,,,,
343,344,Palmerstown,260935.0,WOLGANSTOWN,12.0,6.0,2.0,,7.0,5.0,2.0,,4.0,8.0,2.0,,7.0,8.0,2.0,1.0,4.0,4.0,2.0,,4.0,2.0,2.0,,
344,345,Palmerstown,260505.0,JORDANSTOWN (ED Newcastle),18.0,19.0,4.0,,9.0,14.0,3.0,,6.0,7.0,2.0,,31.0,31.0,17.0,1.0,2.0,6.0,1.0,,4.0,4.0,1.0,,
345,346,Palmerstown,260716.0,PALMERSTOWN,92.0,87.0,33.0,,75.0,63.0,30.0,,57.0,50.0,22.0,,10.0,9.0,2.0,1.0,22.0,26.0,12.0,,25.0,28.0,14.0,1.0,
346,347,Palmerstown,260924.0,WHITESTOWN,11.0,8.0,2.0,,7.0,11.0,2.0,,4.0,9.0,2.0,,9.0,9.0,3.0,,7.0,5.0,2.0,,3.0,3.0,1.0,,
347,348,Palmerstown,,TOTAL,153.0,132.0,47.0,,119.0,109.0,43.0,1.0,92.0,95.0,35.0,,81.0,80.0,30.0,3.0,52.0,54.0,21.0,,45.0,48.0,21.0,2.0,
348,349,Westpalstown,260122.0,BARNANSTOWN,,,,,,,,,8.0,5.0,1.0,,5.0,4.0,1.0,,3.0,4.0,1.0,,3.0,4.0,1.0,,
349,350,Westpalstown,260196.0,CALLIAGHSTOWN,,,,,5.0,3.0,1.0,,3.0,1.0,1.0,,,,,1.0,,,,,,,,,
350,351,Westpalstown,260584.0,LEASTOWN,16.0,22.0,6.0,,13.0,13.0,4.0,,17.0,9.0,4.0,,12.0,9.0,4.0,,12.0,8.0,4.0,,10.0,13.0,4.0,,
351,352,Westpalstown,260663.0,MURRAGH,16.0,14.0,5.0,1.0,22.0,12.0,4.0,,10.0,10.0,3.0,1.0,5.0,3.0,3.0,,11.0,9.0,4.0,,3.0,10.0,3.0,,
352,353,Westpalstown,260687.0,NEWTOWN (ED Ballyboghil),14.0,20.0,6.0,,17.0,17.0,5.0,,8.0,5.0,3.0,,12.0,9.0,4.0,,10.0,8.0,4.0,,9.0,4.0,4.0,,
353,354,Westpalstown,260918.0,WESTPALSTOWN,33.0,34.0,8.0,,31.0,34.0,7.0,1.0,27.0,25.0,8.0,,19.0,21.0,7.0,,13.0,11.0,5.0,,15.0,12.0,5.0,,
354,355,Westpalstown,,TOTAL,79.0,90.0,25.0,1.0,88.0,79.0,21.0,1.0,73.0,55.0,20.0,1.0,53.0,46.0,19.0,1.0,49.0,40.0,18.0,,40.0,43.0,17.0,,
355,356,Castleknock,260002.0,ABBOTSTOWN,10.0,6.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
356,357,Castleknock,260010.0,ANNFIELD,4.0,5.0,1.0,,5.0,5.0,1.0,,2.0,4.0,1.0,,4.0,6.0,1.0,,3.0,4.0,1.0,,3.0,1.0,1.0,,
357,358,Castleknock,,ASHTOWN,112.0,126.0,28.0,13.0,200.0,222.0,75.0,3.0,181.0,185.0,58.0,4.0,174.0,188.0,60.0,4.0,176.0,215.0,63.0,1.0,150.0,138.0,60.0,8.0,
358,359,Castleknock,260017.0,ASTAGOB,138.0,154.0,49.0,5.0,107.0,121.0,44.0,6.0,104.0,112.0,46.0,2.0,72.0,75.0,36.0,7.0,84.0,80.0,35.0,,97.0,97.0,36.0,3.0,
359,360,Castleknock,260151.0,BLANCHARDSTOWN,208.0,194.0,76.0,5.0,145.0,161.0,55.0,3.0,109.0,107.0,46.0,4.0,113.0,112.0,48.0,2.0,104.0,113.0,39.0,,99.0,94.0,34.0,2.0,
360,361,Castleknock,,CABRAGH,241.0,345.0,95.0,3.0,181.0,373.0,74.0,1.0,295.0,408.0,70.0,3.0,314.0,389.0,56.0,2.0,387.0,470.0,63.0,10.0,657.0,730.0,80.0,5.0,
361,362,Castleknock,260200.0,CAPPOGE,123.0,90.0,33.0,,91.0,80.0,28.0,1.0,70.0,53.0,21.0,3.0,62.0,57.0,25.0,,39.0,41.0,19.0,2.0,37.0,29.0,13.0,2.0,
362,363,Castleknock,260204.0,CARPENTERSTOWN,70.0,71.0,21.0,2.0,21.0,35.0,13.0,1.0,37.0,31.0,13.0,,17.0,21.0,8.0,1.0,40.0,35.0,14.0,,39.0,37.0,16.0,,
363,364,Castleknock,260214.0,CASTLEKNOCK,397.0,334.0,118.0,11.0,411.0,372.0,132.0,19.0,474.0,396.0,143.0,3.0,422.0,455.0,134.0,5.0,391.0,302.0,108.0,,494.0,431.0,123.0,11.0,
364,365,Castleknock,,"CASTLEKNOCK, (PHOENIX PARK, PAR OF)",94.0,78.0,26.0,1.0,88.0,87.0,38.0,2.0,102.0,104.0,38.0,,107.0,86.0,24.0,,167.0,110.0,30.0,1.0,166.0,124.0,31.0,,
365,366,Castleknock,260288.0,CORDUFF,83.0,93.0,30.0,,74.0,73.0,25.0,,74.0,72.0,28.0,,56.0,55.0,20.0,,54.0,56.0,21.0,,72.0,68.0,25.0,3.0,
366,367,Castleknock,260331.0,DEANESTOWN,9.0,13.0,5.0,,14.0,12.0,4.0,,9.0,8.0,3.0,1.0,5.0,6.0,3.0,,6.0,5.0,3.0,,5.0,5.0,2.0,,
367,368,Castleknock,260339.0,DISWELLSTONE,61.0,57.0,16.0,,44.0,40.0,11.0,,47.0,57.0,12.0,,46.0,54.0,15.0,,43.0,56.0,13.0,,43.0,51.0,17.0,1.0,
368,369,Castleknock,260360.0,DUNSINK,61.0,58.0,18.0,1.0,47.0,43.0,14.0,,25.0,35.0,11.0,,30.0,25.0,10.0,1.0,33.0,31.0,12.0,,40.0,41.0,12.0,5.0,
369,370,Castleknock,260479.0,HUNTSTOWN,21.0,16.0,4.0,,9.0,9.0,4.0,,15.0,14.0,5.0,,10.0,8.0,3.0,,7.0,5.0,2.0,,5.0,4.0,2.0,1.0,
370,371,Castleknock,,JOHNSTOWN,8.0,6.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,3.0,,1.0,,4.0,4.0,1.0,,
371,372,Castleknock,260635.0,MITCHELSTOWN,20.0,20.0,6.0,,21.0,26.0,8.0,,16.0,19.0,6.0,1.0,15.0,13.0,5.0,2.0,5.0,6.0,2.0,1.0,7.0,5.0,2.0,1.0,
372,373,Castleknock,260721.0,PELLETSTOWN,103.0,83.0,37.0,,88.0,37.0,41.0,1.0,96.0,97.0,42.0,,72.0,69.0,29.0,1.0,62.0,53.0,22.0,4.0,33.0,30.0,19.0,3.0,
373,374,Castleknock,260730.0,PORTERSTOWN,69.0,62.0,19.0,1.0,71.0,66.0,27.0,4.0,50.0,51.0,20.0,,38.0,48.0,23.0,1.0,46.0,44.0,19.0,1.0,43.0,34.0,16.0,2.0,
374,375,Castleknock,260816.0,SCRIBBLESTOWN,37.0,28.0,10.0,,37.0,31.0,12.0,1.0,28.0,25.0,9.0,1.0,28.0,26.0,11.0,1.0,33.0,34.0,12.0,,37.0,39.0,12.0,,
375,376,Castleknock,260829.0,SHEEPHILL,6.0,5.0,3.0,,27.0,26.0,7.0,2.0,21.0,18.0,8.0,,17.0,24.0,9.0,,18.0,15.0,10.0,,25.0,33.0,9.0,,
376,377,Castleknock,260838.0,SNUGBOROUGH,5.0,1.0,1.0,,3.0,1.0,1.0,,5.0,3.0,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,4.0,4.0,1.0,,
377,378,Castleknock,,BLANCHARDSTOWN,86.0,96.0,32.0,2.0,120.0,153.0,45.0,5.0,122.0,131.0,46.0,3.0,117.0,122.0,48.0,2.0,117.0,122.0,48.0,1.0,108.0,98.0,44.0,4.0,
378,379,Castleknock,,CASTLEKNOCK,71.0,85.0,31.0,3.0,87.0,95.0,33.0,5.0,112.0,103.0,39.0,7.0,81.0,66.0,32.0,3.0,82.0,75.0,35.0,,88.0,82.0,36.0,4.0,
379,380,Castleknock,,TOTAL,2037.0,2026.0,663.0,48.0,1892.0,2068.0,693.0,54.0,1995.0,2033.0,667.0,32.0,1803.0,1906.0,602.0,33.0,1901.0,1873.0,573.0,21.0,2256.0,2179.0,592.0,55.0,
380,381,Chapelizod,,CHAPELIZOD,,,,,,,,,,,,,,,,,,,,,,,,,
381,382,Chapelizod,,"CHAPELIZOD (PHOENI PARK, PART OF)",281.0,153.0,5.0,,401.0,95.0,7.0,,484.0,116.0,3.0,,493.0,106.0,4.0,,488.0,113.0,5.0,,503.0,102.0,5.0,,
