,Sr #,Parish,Code,Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited,Remarks
383,384,Chapelizod,,TOTAL,787.0,749.0,99.0,7.0,801.0,684.0,116.0,8.0,1096.0,864.0,156.0,11.0,897.0,582.0,138.0,21.0,981.0,678.0,177.0,16.0,947.0,607.0,165.0,14.0,
384,385,Cloghran,260073.0,BALLYCOOLEN,50.0,25.0,11.0,1.0,28.0,26.0,12.0,,26.0,27.0,9.0,,23.0,29.0,8.0,1.0,20.0,27.0,9.0,,32.0,28.0,11.0,,
385,386,Cloghran,260228.0,CLOGHRAN,4.0,4.0,1.0,1.0,8.0,9.0,2.0,,11.0,10.0,3.0,,12.0,6.0,4.0,,10.0,6.0,3.0,,13.0,10.0,3.0,,
386,387,Cloghran,,GRANGE,15.0,13.0,3.0,,18.0,12.0,4.0,,15.0,13.0,3.0,,8.0,9.0,3.0,,10.0,7.0,3.0,,3.0,4.0,2.0,1.0,
387,388,Cloghran,,TOTAL,69.0,42.0,15.0,2.0,54.0,47.0,18.0,,52.0,50.0,15.0,,43.0,44.0,15.0,1.0,40.0,40.0,15.0,,48.0,42.0,16.0,1.0,
388,389,Clonsilla,260018.0,ASTAGOB,38.0,54.0,18.0,1.0,24.0,32.0,15.0,1.0,48.0,49.0,20.0,,46.0,43.0,20.0,2.0,42.0,57.0,17.0,,51.0,54.0,18.0,,
389,390,Clonsilla,260119.0,BARBERSTOWN,14.0,11.0,5.0,,23.0,21.0,7.0,,14.0,17.0,5.0,,20.0,20.0,6.0,1.0,24.0,13.0,7.0,,22.0,24.0,9.0,1.0,
390,391,Clonsilla,260124.0,BARNHILL,22.0,19.0,7.0,,17.0,9.0,4.0,1.0,18.0,17.0,6.0,,19.0,17.0,6.0,,17.0,12.0,5.0,,11.0,7.0,4.0,,
391,392,Clonsilla,260150.0,BLAKESTOWN,1.0,4.0,1.0,,11.0,16.0,5.0,,38.0,28.0,13.0,1.0,10.0,11.0,5.0,1.0,25.0,21.0,7.0,,27.0,17.0,12.0,1.0,
392,393,Clonsilla,260177.0,BROOMFIELD,11.0,14.0,3.0,1.0,4.0,6.0,1.0,1.0,3.0,9.0,2.0,,15.0,12.0,3.0,,16.0,21.0,6.0,1.0,10.0,17.0,6.0,,
393,394,Clonsilla,260210.0,CASTAHEANY,20.0,12.0,4.0,,10.0,7.0,3.0,1.0,15.0,20.0,5.0,,8.0,7.0,4.0,1.0,3.0,5.0,2.0,,14.0,13.0,3.0,,
394,395,Clonsilla,260240.0,CLONSILLA,82.0,78.0,27.0,1.0,73.0,82.0,25.0,,74.0,77.0,24.0,2.0,46.0,52.0,25.0,3.0,61.0,64.0,22.0,,73.0,74.0,25.0,1.0,
395,396,Clonsilla,260280.0,COOLMINE,136.0,149.0,46.0,,117.0,113.0,42.0,3.0,100.0,92.0,31.0,,108.0,113.0,40.0,,85.0,101.0,40.0,1.0,94.0,100.0,38.0,1.0,
396,397,Clonsilla,260453.0,HANSFIELD or PHIBBLESTOWN,16.0,21.0,7.0,,14.0,21.0,6.0,,13.0,14.0,4.0,,16.0,11.0,4.0,,8.0,15.0,3.0,,10.0,13.0,4.0,,
397,398,Clonsilla,260456.0,HARTSTOWN,9.0,9.0,3.0,,7.0,4.0,2.0,1.0,5.0,3.0,2.0,,8.0,4.0,3.0,,7.0,2.0,1.0,1.0,7.0,8.0,2.0,1.0,
398,399,Clonsilla,260512.0,KELLYSTOWN,49.0,50.0,15.0,2.0,52.0,60.0,16.0,1.0,48.0,47.0,19.0,,28.0,22.0,12.0,1.0,39.0,39.0,16.0,,50.0,42.0,17.0,,
399,400,Clonsilla,260830.0,SHEEPMOOR,33.0,29.0,11.0,,53.0,40.0,16.0,1.0,39.0,42.0,14.0,1.0,32.0,27.0,10.0,,17.0,22.0,8.0,,16.0,29.0,8.0,,
400,401,Clonsilla,260938.0,WOODLANDS,32.0,31.0,11.0,,26.0,29.0,12.0,,38.0,33.0,14.0,1.0,37.0,36.0,15.0,,28.0,25.0,12.0,,30.0,22.0,11.0,,
401,402,Clonsilla,,TOTAL,463.0,481.0,158.0,5.0,431.0,440.0,154.0,10.0,453.0,448.0,159.0,5.0,393.0,375.0,153.0,9.0,372.0,397.0,146.0,3.0,415.0,420.0,157.0,5.0,
402,403,Finglas,,"BALLYHOGGAN, NORTH",5.0,4.0,1.0,,3.0,2.0,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,3.0,1.0,1.0,,
403,404,Finglas,,"BALLYHOGGAN, SOUTH",36.0,39.0,13.0,,33.0,46.0,13.0,,16.0,25.0,7.0,1.0,27.0,34.0,5.0,1.0,30.0,38.0,10.0,4.0,32.0,36.0,10.0,,
404,405,Finglas,,BALLYGALL,4.0,4.0,2.0,,5.0,6.0,2.0,,3.0,6.0,2.0,,3.0,6.0,2.0,,3.0,4.0,2.0,,4.0,4.0,2.0,,
405,406,Finglas,260114.0,BALSESKIN,4.0,4.0,1.0,1.0,7.0,6.0,2.0,,8.0,11.0,3.0,,4.0,1.0,1.0,,1.0,1.0,1.0,,6.0,7.0,2.0,,
406,407,Finglas,260144.0,BISHOPSWOOD,2.0,1.0,1.0,,5.0,7.0,2.0,,3.0,2.0,1.0,,5.0,3.0,2.0,,4.0,1.0,1.0,,,,,1.0,
407,408,Finglas,260173.0,BROGHAN,135.0,111.0,37.0,,109.0,94.0,34.0,2.0,103.0,88.0,31.0,3.0,80.0,72.0,31.0,,72.0,55.0,24.0,1.0,55.0,45.0,21.0,3.0,
408,409,Finglas,,CABRAGH,21.0,27.0,9.0,,28.0,35.0,10.0,1.0,27.0,33.0,10.0,,36.0,34.0,16.0,,23.0,22.0,8.0,,21.0,15.0,7.0,,
409,410,Finglas,260953.0,CARDIFFSBRIDGE,24.0,21.0,7.0,,17.0,22.0,8.0,1.0,10.0,11.0,5.0,3.0,22.0,18.0,8.0,1.0,17.0,11.0,6.0,,22.0,16.0,5.0,,
410,411,Finglas,,CARDIFFSCASTLE,33.0,19.0,11.0,1.0,4.0,5.0,2.0,1.0,6.0,8.0,3.0,1.0,1.0,4.0,1.0,,3.0,6.0,2.0,,4.0,6.0,1.0,,
411,412,Finglas,260219.0,CHARLESTOWN,2.0,1.0,1.0,,2.0,3.0,1.0,,3.0,4.0,1.0,,1.0,5.0,1.0,,3.0,3.0,1.0,,1.0,,1.0,,
412,413,Finglas,260248.0,COLDWINTERS,27.0,23.0,9.0,,15.0,14.0,6.0,,20.0,17.0,7.0,,20.0,16.0,7.0,,8.0,9.0,5.0,,9.0,11.0,4.0,,
413,414,Finglas,,CRURSERATH,12.0,13.0,4.0,,9.0,8.0,4.0,,15.0,11.0,4.0,,19.0,16.0,6.0,,2.0,1.0,2.0,3.0,6.0,12.0,3.0,2.0,
414,415,Finglas,,"FINGLAS, EAST",,,,,91.0,91.0,34.0,2.0,74.0,55.0,24.0,1.0,100.0,110.0,31.0,1.0,137.0,133.0,36.0,2.0,135.0,131.0,38.0,1.0,
415,416,Finglas,,"FINGLAS, WEST",50.0,54.0,19.0,1.0,32.0,36.0,10.0,1.0,25.0,29.0,7.0,3.0,31.0,29.0,9.0,,25.0,17.0,5.0,1.0,21.0,13.0,4.0,,
416,417,Finglas,,FINGLAS WOOD,29.0,25.0,9.0,,6.0,5.0,3.0,6.0,13.0,12.0,5.0,1.0,6.0,5.0,5.0,,6.0,8.0,3.0,1.0,3.0,3.0,1.0,1.0,
417,418,Finglas,,GLOSNEVIN DEMESNE,,,,,,,,,,,,,,,,,,,,,,,,,
418,419,Finglas,,GLEBE,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,
419,420,Finglas,,JAMESTOWN GREAT,20.0,20.0,5.0,,17.0,11.0,6.0,2.0,16.0,17.0,6.0,,10.0,15.0,5.0,,11.0,15.0,5.0,,12.0,8.0,5.0,,
420,421,Finglas,260497.0,JAMESTOWN LITTLE,7.0,11.0,3.0,,13.0,10.0,5.0,,13.0,9.0,6.0,,11.0,13.0,6.0,,14.0,6.0,5.0,,14.0,8.0,4.0,,
421,422,Finglas,260502.0,JOHNSTOWN,6.0,3.0,5.0,,10.0,16.0,5.0,1.0,14.0,16.0,6.0,2.0,11.0,19.0,4.0,3.0,24.0,27.0,8.0,,17.0,20.0,7.0,,
422,423,Finglas,260521.0,KILDONAN,11.0,5.0,3.0,,5.0,7.0,2.0,,5.0,4.0,2.0,,4.0,2.0,2.0,,6.0,1.0,1.0,,9.0,7.0,3.0,,
423,424,Finglas,,KRISHANE,16.0,11.0,5.0,,19.0,26.0,7.0,,20.0,17.0,7.0,,9.0,10.0,3.0,2.0,8.0,8.0,3.0,1.0,14.0,9.0,5.0,,
424,425,Finglas,,POPPINTREE,2.0,,1.0,,,,,,,,,,4.0,3.0,1.0,,2.0,2.0,1.0,,,,,,
425,426,Finglas,260824.0,SHALLON,,,,,4.0,2.0,1.0,,3.0,2.0,1.0,,5.0,5.0,1.0,,2.0,3.0,1.0,,2.0,2.0,1.0,,
426,427,Finglas,,SPRINGMOUNT,16.0,20.0,5.0,,17.0,17.0,5.0,1.0,16.0,18.0,5.0,1.0,4.0,7.0,2.0,,14.0,11.0,4.0,,12.0,12.0,5.0,,
427,428,Finglas,,STANG,7.0,9.0,4.0,,3.0,2.0,2.0,,1.0,,1.0,,7.0,8.0,3.0,,7.0,1.0,1.0,,5.0,2.0,1.0,,
428,429,Finglas,,STOCKENS,2.0,3.0,1.0,,3.0,4.0,1.0,,3.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,
429,430,Finglas,,TOLKA,82.0,59.0,16.0,,83.0,74.0,23.0,2.0,55.0,52.0,12.0,,51.0,46.0,12.0,1.0,17.0,17.0,5.0,,15.0,10.0,5.0,,
430,431,Finglas,,FINGLAS,314.0,364.0,118.0,6.0,316.0,333.0,104.0,25.0,311.0,315.0,115.0,8.0,260.0,239.0,112.0,4.0,307.0,274.0,110.0,5.0,271.0,253.0,99.0,6.0,
431,432,Finglas,,TOLKA,138.0,137.0,52.0,1.0,117.0,106.0,45.0,6.0,109.0,102.0,45.0,5.0,102.0,88.0,42.0,,100.0,102.0,44.0,2.0,97.0,87.0,37.0,7.0,
432,433,Finglas,,TOTAL,1006.0,993.0,343.0,10.0,973.0,988.0,338.0,51.0,894.0,867.0,318.0,29.0,834.0,809.0,319.0,14.0,849.0,779.0,296.0,20.0,790.0,718.0,272.0,21.0,
433,434,Mulhuddart,260128.0,BAY,19.0,8.0,5.0,,8.0,8.0,3.0,,9.0,6.0,3.0,,10.0,14.0,4.0,,11.0,11.0,4.0,,4.0,2.0,1.0,,
434,435,Mulhuddart,260139.0,BELGREE,11.0,7.0,1.0,,11.0,12.0,2.0,,10.0,11.0,2.0,,5.0,7.0,2.0,,3.0,5.0,1.0,1.0,4.0,4.0,1.0,,
435,436,Mulhuddart,260192.0,BUZZARDSTOWN,38.0,11.0,9.0,2.0,18.0,12.0,4.0,1.0,22.0,11.0,5.0,1.0,22.0,14.0,7.0,1.0,26.0,17.0,7.0,,20.0,15.0,7.0,1.0,
436,437,Mulhuddart,260307.0,COURT,1.0,2.0,1.0,,5.0,3.0,2.0,,,,,,,,,1.0,2.0,3.0,1.0,,,,,,
437,438,Mulhuddart,260326.0,DAMASTOWN,9.0,10.0,3.0,,8.0,14.0,3.0,,14.0,16.0,3.0,,6.0,5.0,2.0,2.0,7.0,4.0,2.0,1.0,4.0,7.0,2.0,1.0,
438,439,Mulhuddart,260393.0,GALLANSTOWN,36.0,24.0,8.0,,25.0,14.0,7.0,,28.0,17.0,10.0,,18.0,8.0,5.0,,13.0,9.0,6.0,,14.0,9.0,6.0,2.0,
439,440,Mulhuddart,260431.0,GODDAMENDY,8.0,3.0,2.0,,2.0,3.0,1.0,,4.0,3.0,1.0,,5.0,2.0,1.0,,,,,1.0,4.0,2.0,1.0,,
440,441,Mulhuddart,260468.0,HOLLYSTOWN,9.0,1.0,2.0,,4.0,2.0,1.0,,7.0,4.0,1.0,,4.0,7.0,2.0,,1.0,5.0,1.0,,1.0,2.0,1.0,,
441,442,Mulhuddart,260469.0,HOLLYWOOD,4.0,3.0,3.0,,7.0,8.0,3.0,,14.0,14.0,3.0,,9.0,3.0,1.0,1.0,6.0,1.0,2.0,,5.0,5.0,3.0,,
442,443,Mulhuddart,260472.0,HOLLYWOODRATH,22.0,5.0,5.0,,9.0,5.0,2.0,,6.0,3.0,2.0,,17.0,26.0,7.0,,16.0,25.0,5.0,,4.0,,1.0,1.0,
443,444,Mulhuddart,,HUNTSTOWN,58.0,51.0,17.0,2.0,57.0,60.0,20.0,4.0,50.0,49.0,18.0,,51.0,46.0,17.0,1.0,33.0,33.0,12.0,,25.0,28.0,10.0,2.0,
444,445,Mulhuddart,260527.0,KILLAMONAN,,,,,,,,,,,,,,,,,,,,,,,,,
445,446,Mulhuddart,260542.0,KILMARTIN,20.0,21.0,8.0,,34.0,30.0,8.0,,22.0,24.0,9.0,,18.0,22.0,6.0,1.0,19.0,17.0,6.0,,13.0,11.0,5.0,,
446,447,Mulhuddart,260590.0,LITTLEPACE,15.0,12.0,5.0,,6.0,13.0,5.0,1.0,15.0,14.0,7.0,,8.0,11.0,4.0,,7.0,6.0,3.0,,1.0,5.0,2.0,1.0,
447,448,Mulhuddart,260609.0,MACETOWN MIDDLE,6.0,6.0,2.0,,3.0,3.0,1.0,,3.0,3.0,1.0,,1.0,3.0,1.0,,2.0,1.0,1.0,,5.0,4.0,1.0,,
448,449,Mulhuddart,260610.0,MACETOWN NORTH,,,,,,,,,,,,,3.0,1.0,1.0,,,,,1.0,3.0,1.0,1.0,,
449,450,Mulhuddart,260611.0,MACETOWN SOUTH,4.0,7.0,1.0,,4.0,3.0,1.0,1.0,6.0,8.0,2.0,,7.0,11.0,2.0,,4.0,6.0,1.0,,3.0,3.0,1.0,,
450,451,Mulhuddart,260647.0,MOORETOWN,3.0,3.0,2.0,,4.0,2.0,2.0,,5.0,6.0,2.0,,8.0,5.0,2.0,,2.0,2.0,1.0,,2.0,3.0,1.0,1.0,
451,452,Mulhuddart,260718.0,PARSLICKSTOWN,23.0,11.0,3.0,,17.0,15.0,4.0,,10.0,12.0,4.0,1.0,7.0,10.0,4.0,,18.0,12.0,4.0,,20.0,18.0,5.0,,
452,453,Mulhuddart,260735.0,POWERSTOWN,28.0,19.0,5.0,,25.0,20.0,7.0,,20.0,19.0,5.0,,13.0,11.0,5.0,,9.0,10.0,3.0,,12.0,7.0,2.0,,
453,454,Mulhuddart,260903.0,TYRRELSTOWN,25.0,11.0,7.0,,10.0,10.0,4.0,2.0,12.0,13.0,3.0,2.0,11.0,10.0,3.0,,12.0,11.0,3.0,,5.0,5.0,1.0,2.0,
454,455,Mulhuddart,260947.0,YELLOW WALLS,18.0,15.0,5.0,,21.0,20.0,6.0,,7.0,7.0,2.0,,6.0,6.0,2.0,,13.0,3.0,3.0,,3.0,6.0,3.0,,
455,456,Mulhuddart,,TOTAL,365.0,230.0,94.0,4.0,278.0,257.0,86.0,9.0,264.0,240.0,83.0,4.0,229.0,222.0,78.0,7.0,204.0,181.0,66.0,4.0,152.0,137.0,55.0,11.0,Yellow highlited total are not clear
456,457,ST JAMES P,,CONYNGHAM ROAD,,,,,,,,,,,,,,,,,,,,,,,,,
457,458,ST JAMES P,,ST JAMES' (PHOENIX PARK),146.0,174.0,36.0,2.0,124.0,183.0,43.0,4.0,107.0,141.0,45.0,3.0,198.0,104.0,38.0,2.0,933.0,106.0,19.0,,946.0,169.0,22.0,,
458,459,ST JAMES P,,TOTAL,58.0,54.0,8.0,,688.0,95.0,21.0,1.0,963.0,84.0,20.0,,935.0,125.0,24.0,,933.0,106.0,19.0,,946.0,169.0,22.0,,
459,460,ST JUDE'S,,LONGMEADOWS,204.0,228.0,44.0,2.0,812.0,278.0,64.0,5.0,1070.0,225.0,65.0,3.0,935.0,125.0,24.0,,176.0,192.0,53.0,7.0,139.0,141.0,56.0,9.0,
460,461,Ward,260222.0,CHERRYHOUND,14.0,6.0,3.0,,6.0,6.0,3.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,4.0,1.0,1.0,,1.0,2.0,1.0,,
461,462,Ward,260493.0,IRISHTOWN,8.0,7.0,3.0,1.0,7.0,8.0,3.0,1.0,9.0,3.0,3.0,,6.0,5.0,3.0,,7.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,
462,463,Ward,260526.0,KILLAMONAN,,,,,,,,,,,,,,,,,,,,,,,,,
463,464,Ward,260681.0,NEWPARK,25.0,23.0,8.0,,23.0,21.0,10.0,,30.0,26.0,11.0,,18.0,20.0,7.0,,9.0,11.0,5.0,,14.0,11.0,6.0,2.0,
464,465,Ward,260840.0,SPRICKLESTOWN,13.0,12.0,3.0,2.0,10.0,7.0,2.0,1.0,8.0,5.0,3.0,,7.0,5.0,3.0,,,,,1.0,1.0,3.0,1.0,1.0,
465,466,Ward,260910.0,WARD LOWER,12.0,8.0,4.0,,19.0,10.0,4.0,,9.0,11.0,3.0,,6.0,13.0,3.0,,14.0,16.0,4.0,1.0,10.0,11.0,3.0,1.0,
466,467,Ward,260911.0,WARD UPPER,27.0,20.0,7.0,,6.0,5.0,2.0,,4.0,3.0,2.0,,7.0,8.0,3.0,,6.0,4.0,2.0,,4.0,11.0,2.0,,
467,468,Ward,,TOTAL,99.0,76.0,28.0,3.0,71.0,57.0,24.0,2.0,62.0,49.0,23.0,,46.0,52.0,20.0,,40.0,35.0,14.0,4.0,33.0,39.0,14.0,5.0,
468,469,Artaine P,,ARTAINE (DOMVILLE),10.0,7.0,3.0,,14.0,9.0,7.0,1.0,16.0,9.0,7.0,,15.0,15.0,8.0,,12.0,7.0,4.0,3.0,3.0,11.0,4.0,,
469,470,Artaine P,,ARTAINE EAST,5.0,2.0,2.0,,3.0,6.0,1.0,,6.0,7.0,1.0,,3.0,2.0,1.0,,1.0,3.0,1.0,,4.0,7.0,1.0,,
470,471,Artaine P,,ARTAINE NORTH,36.0,36.0,12.0,1.0,25.0,32.0,10.0,3.0,14.0,15.0,8.0,1.0,6.0,15.0,6.0,1.0,9.0,14.0,5.0,1.0,21.0,19.0,8.0,1.0,
471,472,Artaine P,,ARTAINE SOUTH,67.0,76.0,21.0,1.0,59.0,68.0,22.0,6.0,43.0,57.0,23.0,2.0,273.0,81.0,26.0,1.0,766.0,46.0,22.0,,867.0,34.0,18.0,3.0,
472,473,Artaine P,,ARTAINE WEST,27.0,39.0,9.0,,18.0,19.0,8.0,2.0,24.0,23.0,10.0,,18.0,14.0,7.0,2.0,28.0,21.0,10.0,,27.0,24.0,10.0,,
473,474,Artaine P,,OLDTOWN,6.0,9.0,3.0,,7.0,6.0,2.0,,10.0,12.0,4.0,,6.0,6.0,2.0,,,,,,6.0,6.0,1.0,,
474,475,Artaine P,,PUCKSTOWN,24.0,23.0,9.0,2.0,40.0,39.0,15.0,,39.0,35.0,17.0,1.0,39.0,45.0,15.0,2.0,23.0,23.0,9.0,1.0,26.0,9.0,6.0,1.0,
475,476,Artaine P,,TOTAL,175.0,192.0,59.0,4.0,166.0,179.0,65.0,12.0,152.0,158.0,70.0,4.0,360.0,178.0,65.0,6.0,839.0,114.0,51.0,5.0,954.0,110.0,48.0,5.0,
476,477,Baldoyle,260039.0,BALDOYLE,8.0,7.0,3.0,,15.0,13.0,5.0,,13.0,9.0,5.0,,17.0,19.0,7.0,,14.0,14.0,5.0,1.0,16.0,11.0,5.0,,
477,478,Baldoyle,260439.0,GRANGE,73.0,77.0,23.0,1.0,80.0,93.0,28.0,,83.0,92.0,29.0,1.0,61.0,64.0,22.0,2.0,77.0,69.0,23.0,4.0,63.0,54.0,20.0,2.0,
478,479,Baldoyle,260622.0,MAYNETOWN,12.0,13.0,4.0,1.0,24.0,27.0,8.0,,18.0,17.0,8.0,,16.0,16.0,7.0,1.0,26.0,19.0,8.0,,23.0,18.0,7.0,1.0,
479,480,Baldoyle,260849.0,STAPOLIN,36.0,39.0,12.0,,32.0,30.0,10.0,3.0,35.0,30.0,13.0,,21.0,23.0,11.0,3.0,20.0,25.0,13.0,4.0,14.0,17.0,8.0,2.0,
480,481,Baldoyle,,BOLDOYLE,424.0,411.0,163.0,11.0,390.0,427.0,171.0,6.0,298.0,379.0,156.0,6.0,254.0,348.0,144.0,10.0,250.0,327.0,136.0,9.0,302.0,328.0,128.0,13.0,
481,482,Baldoyle,,TOTAL,553.0,547.0,205.0,13.0,541.0,590.0,222.0,9.0,447.0,527.0,211.0,7.0,369.0,470.0,191.0,16.0,387.0,454.0,185.0,18.0,418.0,428.0,168.0,18.0,
482,483,Balgriffin,260046.0,BALGRIFFIN,93.0,83.0,30.0,1.0,85.0,65.0,25.0,1.0,72.0,85.0,25.0,,65.0,73.0,25.0,1.0,67.0,52.0,25.0,2.0,76.0,45.0,25.0,1.0,
483,484,Balgriffin,260047.0,BALGRIFFIN PARK,18.0,18.0,6.0,,11.0,9.0,4.0,,13.0,8.0,5.0,,15.0,12.0,3.0,,10.0,11.0,3.0,,3.0,4.0,1.0,2.0,
484,485,Balgriffin,260085.0,BALLYMACARTLE,,,,,2.0,5.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,
485,486,Balgriffin,260133.0,BELCAMP,6.0,1.0,1.0,1.0,26.0,22.0,9.0,5.0,25.0,17.0,9.0,3.0,16.0,17.0,9.0,3.0,25.0,29.0,9.0,1.0,13.0,28.0,8.0,5.0,
486,487,Balgriffin,260155.0,BOHAMMER,10.0,17.0,4.0,1.0,38.0,34.0,9.0,,18.0,16.0,7.0,,27.0,25.0,9.0,3.0,26.0,37.0,12.0,1.0,20.0,30.0,10.0,3.0,
487,488,Balgriffin,260185.0,BURGAGE,13.0,21.0,6.0,,18.0,12.0,6.0,,9.0,10.0,4.0,1.0,7.0,8.0,3.0,,2.0,2.0,2.0,,,,,2.0,
488,489,Balgriffin,260804.0,SAINTDOOLAGHS,25.0,15.0,7.0,,72.0,81.0,26.0,5.0,47.0,45.0,20.0,2.0,56.0,56.0,19.0,2.0,64.0,67.0,22.0,4.0,44.0,55.0,18.0,3.0,
489,490,Balgriffin,260839.0,SNUGBOROUGH,36.0,41.0,13.0,,25.0,18.0,6.0,,18.0,20.0,5.0,,9.0,12.0,3.0,,5.0,9.0,3.0,,8.0,11.0,3.0,1.0,
490,491,Balgriffin,,ST DOOLAGHS,70.0,73.0,25.0,2.0,,,,,,,,,,,,,,,,,,,,,
491,492,Balgriffin,,TOTAL,271.0,269.0,92.0,5.0,277.0,246.0,86.0,11.0,203.0,202.0,76.0,6.0,195.0,203.0,71.0,9.0,200.0,207.0,77.0,9.0,166.0,174.0,66.0,17.0,
492,493,Cloghran,260126.0,BASKIN,38.0,42.0,12.0,,21.0,28.0,8.0,1.0,12.0,17.0,6.0,2.0,12.0,13.0,5.0,,10.0,9.0,3.0,3.0,13.0,14.0,4.0,2.0,
493,494,Cloghran,260229.0,CLOGHRAN,105.0,117.0,37.0,6.0,117.0,127.0,42.0,6.0,105.0,112.0,40.0,,90.0,83.0,31.0,1.0,87.0,89.0,36.0,1.0,74.0,80.0,34.0,5.0,
494,495,Cloghran,260239.0,CLONSHAGH,,,,,,,,,4.0,5.0,1.0,,,,,,,,,,,,,,
495,496,Cloghran,260285.0,CORBALLIS,21.0,10.0,6.0,,10.0,8.0,4.0,1.0,6.0,9.0,4.0,,11.0,12.0,3.0,,5.0,2.0,2.0,1.0,8.0,11.0,4.0,1.0,
496,497,Cloghran,260627.0,MIDDLETOWN,14.0,12.0,5.0,1.0,14.0,12.0,4.0,2.0,13.0,11.0,5.0,1.0,14.0,22.0,8.0,,17.0,18.0,6.0,,17.0,16.0,7.0,1.0,
497,498,Cloghran,260841.0,SPRINGHILL,9.0,3.0,2.0,,8.0,3.0,2.0,,10.0,5.0,2.0,,8.0,4.0,2.0,,8.0,8.0,2.0,,14.0,13.0,3.0,,
498,499,Cloghran,260856.0,STOCKHOLE,76.0,77.0,27.0,1.0,38.0,49.0,16.0,,19.0,25.0,6.0,,20.0,23.0,10.0,,16.0,16.0,7.0,1.0,22.0,14.0,8.0,,
499,500,Cloghran,260881.0,TOBERBUNNY,10.0,15.0,3.0,,12.0,15.0,3.0,,8.0,5.0,3.0,,7.0,5.0,3.0,,9.0,8.0,2.0,,12.0,7.0,4.0,,
500,501,Cloghran,,TOTAL,273.0,276.0,92.0,8.0,220.0,242.0,79.0,10.0,177.0,189.0,67.0,3.0,162.0,162.0,62.0,1.0,152.0,150.0,58.0,6.0,160.0,155.0,64.0,9.0,
501,502,Clontarf P,,CLONTARF EAST,27.0,42.0,10.0,1.0,52.0,72.0,20.0,,40.0,61.0,17.0,1.0,,,,,,,,,,,,,
502,503,Clontarf P,,CLONTARF WEST,363.0,427.0,99.0,5.0,50.0,95.0,22.0,,140.0,221.0,65.0,7.0,,,,,,,,,,,,,
503,504,Clontarf P,,ELM PARK,25.0,47.0,7.0,1.0,22.0,24.0,8.0,1.0,31.0,63.0,11.0,1.0,,,,,,,,,,,,,
504,505,Clontarf P,,FURRY PARK,10.0,16.0,3.0,,7.0,18.0,4.0,,6.0,14.0,3.0,,5.0,14.0,4.0,,9.0,12.0,3.0,,10.0,11.0,3.0,,
505,506,Clontarf P,,GREONLANES,158.0,209.0,57.0,6.0,157.0,192.0,54.0,5.0,162.0,177.0,55.0,10.0,,,,,,,,,17.0,19.0,,,
506,507,Clontarf P,,HARMONSTOWN,31.0,33.0,9.0,,16.0,19.0,6.0,,9.0,13.0,5.0,1.0,11.0,17.0,7.0,,11.0,17.0,6.0,1.0,,,6.0,,
507,508,Clontarf P,,HERONSTOWN,83.0,91.0,28.0,3.0,27.0,79.0,15.0,1.0,18.0,73.0,11.0,1.0,,,,,,,,,1.0,2.0,,,
508,509,Clontarf P,,KILLESTER DEMESNE,12.0,21.0,5.0,,13.0,17.0,3.0,1.0,10.0,13.0,2.0,,,,,,,,,,13.0,11.0,1.0,,
509,510,Clontarf P,,SIBYLHILL,18.0,31.0,4.0,,24.0,29.0,5.0,,18.0,49.0,6.0,,11.0,17.0,4.0,,10.0,14.0,4.0,,24.0,14.0,4.0,,
510,511,Clontarf P,,THE ISLAND OR NORTH BULL,7.0,5.0,2.0,,6.0,8.0,3.0,,21.0,17.0,8.0,,18.0,17.0,8.0,,19.0,24.0,8.0,,,,8.0,,
511,512,Clontarf P,,CLONTARF,68.0,90.0,23.0,2.0,56.0,103.0,24.0,,47.0,90.0,53.0,5.0,,,,,,,,,,,,,
512,513,Clontarf P,,DO SHEDS,263.0,397.0,87.0,13.0,299.0,417.0,114.0,11.0,367.0,483.0,117.0,17.0,,,,,,,,,,,,,
513,514,Clontarf P,,DOLLYMOUNT,90.0,100.0,29.0,6.0,119.0,145.0,40.0,10.0,86.0,105.0,38.0,4.0,,,,,,,,,,,,,
514,515,Clontarf P,,MARINO,,,,,98.0,170.0,40.0,6.0,58.0,78.0,22.0,4.0,,,,,,,,,,,,,
515,516,Clontarf P,,CLONTARF TOWNSHIP,,,,,,,,,,,,,949.0,1337.0,412.0,51.0,1161.0,1527.0,457.0,49.0,1184.0,1632.0,485.0,36.0,
516,517,Clontarf P,,SEAFIELD AVENUE,,,,,95.0,95.0,26.0,2.0,,,,,,,,,,,,,,,,,
517,518,Clontarf P,,STRANDVILLE AVENUE,,,,,75.0,83.0,23.0,1.0,,,,,,,,,,,,,,,,,
